trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
66,False,"{'a': 0.9651785714285714, 'e': 0.7183288830986235}",20,0,-46.24364155236315,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
67,False,"{'a': 0.9646428571428571, 'e': 0.7147372386831304}",30,0,-114.0577510581796,"{0: 20, 1: 1, 2: 5, 3: 4, 4: 0}",0
68,False,"{'a': 0.9641071428571428, 'e': 0.7111635524897147}",25,0,-38.77041320476766,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
69,False,"{'a': 0.9635714285714285, 'e': 0.7076077347272661}",25,0,-76.28868926167173,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
70,False,"{'a': 0.9630357142857143, 'e': 0.7040696960536298}",20,4,-37.88972097809762,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
71,False,"{'a': 0.9625, 'e': 0.7005493475733616}",25,0,-1.7305807742770274,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
72,False,"{'a': 0.9619642857142857, 'e': 0.6970466008354949}",30,0,-181.3688210216362,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
73,False,"{'a': 0.9614285714285714, 'e': 0.6935613678313174}",30,7,-27.257454034713554,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 0}",1
74,False,"{'a': 0.9608928571428571, 'e': 0.6900935609921608}",20,6,1.1872833441187522,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.9603571428571429, 'e': 0.6866430931872}",25,16,-68.86530001052141,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 1}",1
76,False,"{'a': 0.9598214285714286, 'e': 0.683209877721264}",25,0,-68.15025706578045,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
77,False,"{'a': 0.9592857142857143, 'e': 0.6797938283326577}",25,0,-62.81142991165439,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
78,False,"{'a': 0.95875, 'e': 0.6763948591909944}",20,0,-16.856720036305752,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
79,False,"{'a': 0.9582142857142857, 'e': 0.6730128848950394}",25,0,-55.26650556261591,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
80,False,"{'a': 0.9576785714285714, 'e': 0.6696478204705641}",30,0,-22.81312059266775,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
81,False,"{'a': 0.9571428571428572, 'e': 0.6662995813682113}",20,0,-127.16880743300332,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
82,False,"{'a': 0.9566071428571429, 'e': 0.6629680834613703}",25,8,-29.401379289658212,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
83,False,"{'a': 0.9560714285714286, 'e': 0.6596532430440635}",20,14,-13.483509817496367,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.9555357142857143, 'e': 0.6563549768288431}",20,0,-100.74576434446614,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
85,False,"{'a': 0.955, 'e': 0.6530732019446989}",20,4,-21.650337509412115,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
86,False,"{'a': 0.9544642857142858, 'e': 0.6498078359349754}",25,19,-12.098439482345253,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
87,False,"{'a': 0.9539285714285715, 'e': 0.6465587967553006}",25,0,-43.7165061112281,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
88,False,"{'a': 0.9533928571428572, 'e': 0.6433260027715241}",20,0,-106.32287182194695,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
89,False,"{'a': 0.9528571428571428, 'e': 0.6401093727576664}",25,0,-110.70789781679909,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
90,False,"{'a': 0.9523214285714285, 'e': 0.6369088258938781}",20,0,-13.084816114676752,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
91,False,"{'a': 0.9517857142857142, 'e': 0.6337242817644086}",20,6,-30.857354589503917,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
92,False,"{'a': 0.95125, 'e': 0.6305556603555866}",30,9,-70.20579399493249,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 0}",1
93,False,"{'a': 0.9507142857142857, 'e': 0.6274028820538087}",25,11,-19.555935008670787,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
94,False,"{'a': 0.9501785714285714, 'e': 0.6242658676435396}",20,0,-43.106896774689055,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
95,False,"{'a': 0.9496428571428571, 'e': 0.6211445383053219}",20,0,-108.21480610897065,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
96,False,"{'a': 0.9491071428571428, 'e': 0.6180388156137954}",30,17,-0.07924344959744989,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.9485714285714286, 'e': 0.6149486215357264}",25,9,-53.6941631485015,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 1}",1
98,False,"{'a': 0.9480357142857143, 'e': 0.6118738784280477}",25,0,-93.33494015382455,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
99,False,"{'a': 0.9475, 'e': 0.6088145090359075}",20,11,-50.769638669747,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
100,False,"{'a': 0.9469642857142857, 'e': 0.6057704364907279}",30,0,-88.31599344960709,"{0: 22, 1: 0, 2: 5, 3: 3, 4: 0}",0
101,False,"{'a': 0.9464285714285714, 'e': 0.6027415843082743}",20,12,-38.05860110227124,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
102,False,"{'a': 0.9458928571428571, 'e': 0.599727876386733}",35,0,-108.44010070965875,"{0: 25, 1: 2, 2: 5, 3: 2, 4: 1}",0
103,False,"{'a': 0.9453571428571429, 'e': 0.5967292370047993}",25,0,-61.800643371423284,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
104,False,"{'a': 0.9448214285714286, 'e': 0.5937455908197753}",30,0,-32.665197744382674,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
105,False,"{'a': 0.9442857142857143, 'e': 0.5907768628656764}",20,0,-75.81772393196887,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
106,False,"{'a': 0.94375, 'e': 0.587822978551348}",30,3,-30.98858625904518,"{0: 19, 1: 5, 2: 3, 3: 0, 4: 0}",1
107,False,"{'a': 0.9432142857142857, 'e': 0.5848838636585912}",20,0,-88.56752143465253,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",1
108,False,"{'a': 0.9426785714285715, 'e': 0.5819594443402983}",25,11,-5.7518678125962275,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.9421428571428572, 'e': 0.5790496471185969}",25,14,-13.421320978728719,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
110,False,"{'a': 0.9416071428571429, 'e': 0.5761543988830038}",30,0,-168.85861174604784,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
